Employee Information
Date run,Time run
03-Oct-2022,17:14:21

Title,First Name,Middle Name,Last Name,Date of Birth,Account Email,Address Line 1,Address Line 2,Address Line 3,Town/City,County,Postcode,Personal Email,Home Phone,Mobile Phone,Work Phone,Work Extension,Terminated,Registered,Gender,Team(s),Start Date,Job Title,Contract Type,Employee Type,Location,Hours Per Week,Working Pattern,Holiday Entitlement,Holiday Entitlement Unit,General Notice Period,General Notice Period Unit,Probation Required,Probation End Date,Notice Required During Probation,Probation Notice Period Unit,NI Number,Tax Code,Payroll Reference,Salary,Payment Frequency,Passport Number,Passport Expiry,Driving Licence Number,Driving Licence Expiry,Visa Number,Visa Expiry Date,DBS Checked,DBS Check Follow Up Date,Pension Eligible,Opted Out?,Date of Enrolment,Employer Contribution,Employee Contribution,COVID-19 vaccinated,Right to work status,Date of issue,Date of check,Expiry date,Share code,Primary Emergency Contact First Name,Primary Emergency Contact Last Name,Primary Emergency Contact Address Line 1,Primary Emergency Contact Address Line 2,Primary Emergency Contact Address Line 3,Primary Emergency Contact Town/City,Primary Emergency Contact County,Primary Emergency Contact Country,Primary Emergency Contact Work Number,Primary Emergency Contact Landline,Primary Emergency Contact Mobile,Primary Emergency Contact Relationship
,Abd Al,,Qader,,abdalqaderbaghi@gmail.com,,,,,,,,,,n/a,,No,Yes,,No team,01-Jan-2021,,,regular,hjkh,35,Mon-Fri 9-5,28,days,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,john,doe,12 sd kjls ds,dsadsa,,holohalHA,DSA,United Kingdom,432343243243,32324434343,432432433243,Sibling
,Manager,,Guy,,aqbaghi@atomiccode.uk,,,,,,,,,,,,No,Yes,,No team,28-Apr-1995,,,regular,HQ,40,mon to fri - 9 to 5,34,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,Variable,,Guy,,var@var.com,,,,,,,,,,,,No,No,,No team,28-Apr-2022,,,variable,,40,,28,hours,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,american,,guy,,zelowywa@inboxbear.com,,,,,,,,,,,,No,Yes,,No team,28-Apr-2022,,,regular,hjkh,40,mon to fri - 9 to 5,0,hours,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,jonny,,depp[,,hjh@hjh.hgj,,,,,,,,,,,,No,No,,No team,23-May-2022,,,regular,,48,not deducted 9 to 5,22,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,"Jon ",,Doe,12-Oct-1997,decec98486@safe-cart.com,dfdsfdfd,,,,,w23 3re,,,,,,No,No,,No team,18-Aug-2022,,,regular,,40,mon to fri - 9 to 5,0,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,AQ,,Baghi,,qader@atomiccode.uk,,,,,,,,,,,,No,No,,No team,11-Apr-2022,,,regular,,40,9 to 5 not deducted,25,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,full-then-part,,time,,dsadasasd@dsadsadasdas.dasdasdsa,,,,,,,,,,,,No,No,,No team,01-Jan-2022,,,regular,,16,second,80,hours,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,Variable Employees,,Must wash hands,,aq@getairmail.com,,,,,,,,,,,,No,Yes,,No team,23-Sep-2022,,,variable,,40,,28,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,Admin,,Account,,adminaccount@brighthr.yo,,,,,,,,,,,,No,No,,No team,01-Jan-1999,,,variable,,40,,28,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,Ahmed,,Bale,,ahmedbale@brighthr.yo,,,,,,,,,,,,No,No,,No team,01-Oct-1999,,,variable,,40,,28,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,Ajay,,Patel,,ajaypatel@brighthr.yo,,,,,,,,,,,,No,No,,No team,01-Oct-1999,,,regular,,40,mon to fri - 9 to 5,28,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,angela,,houghton,,angelahoughton@brighthr.yo,,,,,,,,,,,,No,No,,No team,01-Oct-1999,,,variable,,40,,28,hours,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
,ashley,,yarnton,,ashleyyarnton@brighthr.yo,,,,,,,,,,,,No,No,,No team,01-Oct-1999,,,variable,,40,,28,days,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,
